City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Burdur,TR,2022-01-31 01:52:35,37.7203,30.2908,32.7,93,75,16.11
142,Umiray,PH,2022-01-31 01:52:35,15.2206,121.4111,78.73,76,91,10.11
143,Toktogul,KG,2022-01-31 01:52:35,41.8708,72.9402,19.04,62,13,3.42
144,Juneau,US,2022-01-31 01:52:36,58.3019,-134.4197,33.8,86,75,6.91
145,Roura,GF,2022-01-31 01:52:36,4.7263,-52.3274,78.96,94,20,0.0
146,Qaqortoq,GL,2022-01-31 01:52:36,60.7167,-46.0333,17.37,89,100,25.55
147,Beringovskiy,RU,2022-01-31 01:52:37,63.05,179.3167,-4.59,96,100,10.78
148,Tupik,RU,2022-01-31 01:52:37,54.4253,119.9327,-4.11,84,99,3.96
149,Tokur,RU,2022-01-31 01:52:37,53.1333,132.9,-3.26,87,80,0.89
150,Ayan,RU,2022-01-31 01:52:38,56.45,138.1667,3.33,64,100,17.0
151,Maues,BR,2022-01-31 01:52:38,-3.3836,-57.7186,73.54,93,100,1.72
152,Upernavik,GL,2022-01-31 01:49:26,72.7868,-56.1549,-6.68,97,100,3.38
153,Hithadhoo,MV,2022-01-31 01:52:08,-0.6,73.0833,82.09,71,4,10.85
154,Pangnirtung,CA,2022-01-31 01:52:38,66.1451,-65.7125,-21.08,85,92,5.01
155,Sinop,TR,2022-01-31 01:52:39,41.7711,34.8709,27.61,85,100,9.93
156,Tiksi,RU,2022-01-31 01:48:49,71.6872,128.8694,-17.97,100,100,3.83
157,La Ronge,CA,2022-01-31 01:52:39,55.1001,-105.2842,12.45,79,100,5.75
158,Kandrian,PG,2022-01-31 01:52:39,-6.2167,149.55,88.81,61,99,13.98
159,Carnarvon,AU,2022-01-31 01:47:42,-24.8667,113.6333,86.07,58,35,18.41
160,Nishihara,JP,2022-01-31 01:52:40,26.1842,127.7558,58.68,65,75,9.22
161,Leningradskiy,RU,2022-01-31 01:52:40,69.3833,178.4167,-14.85,94,81,4.45
162,Samana,DO,2022-01-31 01:52:40,19.2056,-69.3369,73.15,85,18,3.83
163,Gweta,BW,2022-01-31 01:52:41,-20.1833,25.2333,69.22,88,99,10.74
164,Berlevag,NO,2022-01-31 01:52:41,70.8578,29.0864,29.25,65,80,7.47
165,Eyl,SO,2022-01-31 01:52:41,7.9803,49.8164,73.53,77,100,14.88
166,Camacha,PT,2022-01-31 01:52:42,33.0833,-16.3333,61.56,82,20,17.27
167,Kafanchan,NG,2022-01-31 01:52:42,9.5833,8.3,63.88,17,100,10.56
168,Akdagmadeni,TR,2022-01-31 01:52:42,39.6603,35.8836,26.51,96,100,5.28
169,Baykit,RU,2022-01-31 01:52:43,61.67,96.37,-3.5,99,100,0.29
170,San Juan,AR,2022-01-31 01:52:43,-31.5375,-68.5364,86.74,29,0,13.04
171,Anadyr,RU,2022-01-31 01:52:43,64.75,177.4833,-12.5,75,0,8.95
172,Poya,NC,2022-01-31 01:47:51,-21.35,165.15,86.04,62,95,6.38
173,Mount Gambier,AU,2022-01-31 01:52:38,-37.8333,140.7667,75.11,69,3,4.61
174,Belogorsk,RU,2022-01-31 01:52:44,50.9158,128.4611,-2.94,90,12,5.46
175,Labuhan,ID,2022-01-31 01:52:44,-6.8844,112.2051,82.38,77,100,8.34
176,Dakoro,NE,2022-01-31 01:52:44,14.5106,6.765,60.12,17,5,15.68
177,Solnechnyy,RU,2022-01-31 01:50:12,50.7214,136.6319,1.0,91,94,3.33
178,Chapais,CA,2022-01-31 01:52:45,49.7834,-74.8492,-7.82,98,97,3.85
179,Aleysk,RU,2022-01-31 01:52:45,52.4926,82.7822,3.29,95,100,3.27
180,North Platte,US,2022-01-31 01:51:45,41.1239,-100.7654,46.26,31,0,1.01
181,Port Elizabeth,ZA,2022-01-31 01:52:18,-33.918,25.5701,68.29,94,20,10.36
182,Novi Pazar,RS,2022-01-31 01:53:45,43.1367,20.5122,28.56,89,15,4.88
183,Port Macquarie,AU,2022-01-31 01:49:28,-31.4333,152.9167,84.88,71,37,8.23
184,Pokhara,NP,2022-01-31 01:53:46,28.2333,83.9833,51.21,68,95,1.03
185,Ahipara,NZ,2022-01-31 01:53:46,-35.1667,173.1667,75.15,58,100,14.43
186,Yeppoon,AU,2022-01-31 01:53:46,-23.1333,150.7333,89.38,64,39,10.22
187,Lake City,US,2022-01-31 01:53:47,30.1897,-82.6393,46.11,65,0,5.75
188,Hong Gai,VN,2022-01-31 01:53:47,20.956,107.0946,53.51,88,100,5.7
189,Santa Maria,BR,2022-01-31 01:53:47,-29.6842,-53.8069,70.9,88,0,5.75
190,Alofi,NU,2022-01-31 01:53:48,-19.0595,-169.9187,80.49,78,100,6.91
191,Resistencia,AR,2022-01-31 01:53:48,-27.4606,-58.9839,83.08,32,0,6.91
192,Isparta,TR,2022-01-31 01:53:48,38.0,31.0,27.36,100,100,13.91
193,Haapiti,PF,2022-01-31 01:53:49,-17.5667,-149.8667,83.93,71,45,9.78
194,Xuddur,SO,2022-01-31 01:53:49,4.1213,43.8894,66.04,78,85,13.82
195,Nabire,ID,2022-01-31 01:53:49,-3.3667,135.4833,83.25,63,100,1.43
196,San Policarpo,PH,2022-01-31 01:53:50,12.1791,125.5072,81.3,77,54,4.54
197,Djambala,CG,2022-01-31 01:53:50,-2.5447,14.7533,69.4,85,97,3.11
198,Sola,VU,2022-01-31 01:53:50,-13.8833,167.55,78.49,84,100,10.94
199,Tefe,BR,2022-01-31 01:53:50,-3.3542,-64.7114,72.82,98,67,2.75
200,Lompoc,US,2022-01-31 01:53:51,34.6391,-120.4579,62.13,77,20,5.75
201,Channel-Port Aux Basques,CA,2022-01-31 01:53:51,47.5702,-59.1367,25.21,80,100,26.98
202,Ancud,CL,2022-01-31 01:53:51,-41.8697,-73.8203,52.43,74,30,5.95
203,Richards Bay,ZA,2022-01-31 01:53:52,-28.783,32.0377,70.07,90,98,6.4
204,Ulladulla,AU,2022-01-31 01:53:52,-35.35,150.4667,86.77,63,43,10.18
205,Severo-Kurilsk,RU,2022-01-31 01:53:52,50.6789,156.125,28.44,96,100,7.49
206,Shelburne,CA,2022-01-31 01:52:07,44.0787,-80.2041,17.49,93,30,8.7
207,Margate,GB,2022-01-31 01:53:52,51.3813,1.3862,46.89,74,41,10.0
208,Yarmouth,US,2022-01-31 01:53:53,41.7057,-70.2286,20.98,73,0,5.75
209,Fasa,IR,2022-01-31 01:53:53,28.9383,53.6482,36.64,81,0,4.61
210,Luderitz,NA,2022-01-31 01:53:53,-26.6481,15.1594,63.81,92,69,6.53
211,Cuenca,EC,2022-01-31 01:53:54,-2.8833,-78.9833,57.33,88,75,8.05
212,Krasnoselkup,RU,2022-01-31 01:53:54,65.7,82.4667,3.49,95,100,9.51
213,Gejiu,CN,2022-01-31 01:53:54,23.306,103.1635,40.91,92,99,4.72
214,Kamaishi,JP,2022-01-31 01:53:54,39.2667,141.8833,29.35,45,91,13.4
215,Haines Junction,CA,2022-01-31 01:53:55,60.7522,-137.5108,6.75,56,39,10.36
216,Isangel,VU,2022-01-31 01:49:23,-19.55,169.2667,82.51,83,75,4.61
217,San Patricio,US,2022-01-31 01:53:55,28.017,-97.5169,64.38,76,100,10.8
218,Todos Santos,MX,2022-01-31 01:53:55,23.45,-110.2167,72.01,76,50,7.94
219,Natal,BR,2022-01-31 01:49:47,-5.795,-35.2094,79.45,94,20,5.75
220,Qaanaaq,GL,2022-01-31 01:53:56,77.484,-69.3632,-4.18,94,100,3.71
221,Narsaq,GL,2022-01-31 01:53:56,60.9167,-46.05,17.58,89,100,22.37
222,Inhambane,MZ,2022-01-31 01:53:56,-23.865,35.3833,73.65,82,16,5.61
223,Sorong,ID,2022-01-31 01:53:57,-0.8833,131.25,82.38,76,100,14.9
224,Roseburg,US,2022-01-31 01:53:57,43.2165,-123.3417,56.14,69,100,4.05
225,Asosa,ET,2022-01-31 01:53:57,10.0667,34.5333,61.09,35,5,4.45
226,Bac Lieu,VN,2022-01-31 01:54:58,9.285,105.7244,82.2,66,6,16.08
227,Tungor,RU,2022-01-31 01:54:58,53.3808,142.9564,9.64,91,100,22.26
228,Buta,CD,2022-01-31 01:54:58,2.7858,24.73,67.12,42,100,1.43
229,Cidreira,BR,2022-01-31 01:54:59,-30.1811,-50.2056,73.62,72,0,18.79
230,Itarema,BR,2022-01-31 01:54:59,-2.9248,-39.9167,78.93,83,100,11.32
231,San Jeronimo,PE,2022-01-31 01:54:59,-11.9472,-75.2829,43.84,95,100,1.63
232,Bengkulu,ID,2022-01-31 01:52:41,-3.8004,102.2655,77.49,85,100,3.94
233,Westport,US,2022-01-31 01:50:11,41.1415,-73.3579,24.94,62,0,1.01
234,Vanimo,PG,2022-01-31 01:55:00,-2.6741,141.3028,80.29,79,100,11.9
235,Banda Aceh,ID,2022-01-31 01:55:00,5.5577,95.3222,80.55,73,22,6.08
236,Constantine,DZ,2022-01-31 01:55:00,36.365,6.6147,33.21,80,0,3.44
237,Jalu,LY,2022-01-31 01:55:00,29.0331,21.5482,51.93,73,64,9.98
238,Nuuk,GL,2022-01-31 01:55:01,64.1835,-51.7216,2.95,73,100,12.35
239,Te Anau,NZ,2022-01-31 01:55:01,-45.4167,167.7167,74.26,57,95,5.5
240,Inuvik,CA,2022-01-31 01:55:01,68.3499,-133.7218,4.06,85,100,11.5
241,Sitka,US,2022-01-31 01:52:31,57.0531,-135.33,39.09,70,20,0.0
242,Visby,SE,2022-01-31 01:55:02,57.6409,18.296,34.02,64,100,23.02
243,Cururupu,BR,2022-01-31 01:55:02,-1.8283,-44.8683,73.29,90,99,6.53
244,Oyama,JP,2022-01-31 01:55:03,36.3,139.8,47.53,25,0,6.64
245,Esperance,AU,2022-01-31 01:55:03,-33.8667,121.9,69.64,72,62,18.61
246,Hofn,IS,2022-01-31 01:50:06,64.2539,-15.2082,26.1,45,100,16.49
247,Yar-Sale,RU,2022-01-31 01:55:03,66.8333,70.8333,-3.12,95,93,8.12
248,Arti,RU,2022-01-31 01:55:04,56.4234,58.5328,7.88,98,96,3.18
249,Kavieng,PG,2022-01-31 01:50:10,-2.5744,150.7967,83.21,71,100,2.21
250,Surt,LY,2022-01-31 01:55:04,31.2089,16.5887,56.61,69,88,16.26
251,Kapoeta,SS,2022-01-31 01:52:33,4.7717,33.5903,77.49,29,99,2.3
252,Muroto,JP,2022-01-31 01:55:04,33.2833,134.15,48.24,46,6,14.58
253,Chumikan,RU,2022-01-31 01:55:05,54.7183,135.315,1.65,78,100,19.51
254,North Port,US,2022-01-31 01:53:56,27.0442,-82.2359,49.98,55,0,6.58
255,Sur,OM,2022-01-31 01:55:05,22.5667,59.5289,69.49,66,0,2.39
256,Shache,CN,2022-01-31 01:55:06,38.4167,77.2406,25.72,41,100,1.77
257,Bobo Dioulasso,BF,2022-01-31 01:55:06,11.1771,-4.2979,72.05,15,75,9.22
258,Kieta,PG,2022-01-31 01:55:06,-6.2167,155.6333,85.98,69,100,8.01
259,San Joaquin,US,2022-01-31 01:55:07,37.9333,-121.3011,59.14,60,3,1.99
260,Torbay,CA,2022-01-31 01:50:37,47.6666,-52.7314,36.57,80,75,27.63
261,Usinsk,RU,2022-01-31 01:55:07,65.9939,57.5281,10.02,93,100,12.24
262,Kudahuvadhoo,MV,2022-01-31 01:55:07,2.6708,72.8944,81.99,74,10,13.67
263,Saint Anthony,US,2022-01-31 01:53:16,45.0205,-93.218,17.74,81,91,1.01
264,Wasilla,US,2022-01-31 01:55:08,61.5814,-149.4394,20.32,84,0,0.0
265,Pengcheng,CN,2022-01-31 01:55:08,36.4311,114.17,35.98,19,0,15.95
266,Poum,NC,2022-01-31 01:55:08,-20.2333,164.0167,80.51,74,100,10.67
267,Elverum,NO,2022-01-31 01:55:08,60.8819,11.5623,11.59,95,40,2.84
268,Kununurra,AU,2022-01-31 01:55:03,-15.7667,128.7333,85.98,70,100,18.41
269,Grindavik,IS,2022-01-31 01:55:09,63.8424,-22.4338,27.07,86,100,26.46
270,Puerto Escondido,MX,2022-01-31 01:55:09,15.85,-97.0667,76.96,82,1,3.58
271,Roswell,US,2022-01-31 01:52:44,34.0232,-84.3616,47.79,58,0,4.61
272,Paraiso,CR,2022-01-31 01:56:10,9.8383,-83.8656,65.26,94,65,4.38
273,Dunedin,NZ,2022-01-31 01:56:10,-45.8742,170.5036,68.45,69,17,10.98
274,Arroyo,ES,2022-01-31 01:56:10,41.6096,-4.7969,43.2,55,0,3.44
275,Biskamzha,RU,2022-01-31 01:56:10,53.4497,89.5272,-2.43,93,40,3.36
276,Bethel,US,2022-01-31 01:54:42,41.3712,-73.414,21.49,67,79,3.11
277,Verkhnyaya Toyma,RU,2022-01-31 01:56:11,62.2349,44.9985,-2.6,100,95,4.59
278,Stokmarknes,NO,2022-01-31 01:56:11,68.5646,14.9108,24.49,89,96,7.85
279,Lar,IN,2022-01-31 01:56:11,26.2039,83.9717,52.21,77,0,1.57
280,Pagudpud,PH,2022-01-31 01:56:12,18.5616,120.7868,76.96,80,91,19.15
281,Koslan,RU,2022-01-31 01:56:12,63.4564,48.8989,-1.44,99,98,4.03
282,Washougal,US,2022-01-31 01:53:09,45.5826,-122.3534,52.36,92,100,5.01
283,Tilichiki,RU,2022-01-31 01:56:13,60.4667,166.1,18.03,87,100,10.2
284,Makhachkala,RU,2022-01-31 01:56:13,42.9764,47.5024,21.18,64,2,2.1
285,Port Lincoln,AU,2022-01-31 01:56:13,-34.7333,135.8667,73.29,67,25,7.56
286,Yako,BF,2022-01-31 01:56:13,12.9667,-2.2667,68.47,14,2,9.89
287,Russell,US,2022-01-31 01:56:14,32.3502,-85.1999,52.88,73,1,5.5
288,Honiara,SB,2022-01-31 01:54:42,-9.4333,159.95,84.97,73,91,5.23
289,Jiayuguan,CN,2022-01-31 01:56:14,39.8167,98.3,16.12,41,100,4.88
290,Khuzdar,PK,2022-01-31 01:56:14,27.7384,66.6434,52.84,42,0,5.14
291,Nipawin,CA,2022-01-31 01:51:45,53.3668,-104.0009,21.24,93,100,5.75
